item_id,dataset,table,column,data_type,role,table_time_col,availability_class,availability_column,boundary,mutable,checkability,confidence,rationale,operational_action
rel-event:115,rel-event,events,c_91,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:116,rel-event,events,c_92,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:117,rel-event,events,c_93,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:118,rel-event,events,c_94,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:119,rel-event,events,c_95,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:120,rel-event,events,c_96,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:121,rel-event,events,c_97,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:122,rel-event,events,c_98,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:123,rel-event,events,c_99,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:124,rel-event,events,c_100,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:125,rel-event,events,c_other,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:126,rel-event,events,city,str,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:127,rel-event,events,state,str,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:128,rel-event,events,zip,str,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:129,rel-event,events,country,str,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
